page_id,page_namespace,"page_title","page_restrictions",page_counter,page_is_redirect,page_is_new,page_random,"page_touched",page_latest,page_len
386,0,"Technology:NUnit","",199,0,0,0.400603820258,"20130609004442",16947,43
387,0,"Technology:Visual_Studio","",225,0,0,0.438533178013,"20130609004442",16979,38
388,0,"Builder_pattern","",187,0,0,0.905931289202,"20130609004443",16405,48
389,0,"Technology:JDK","",218,0,0,0.559547932738,"20130609004443",16899,265
399,0,"Technology:csc.exe","",353,0,0,0.134334514502,"20130609004450",16998,145
400,0,"Technology:xsd.exe","",603,0,0,0.369370764111,"20130609004451",19158,1390
402,14,"Runtime","",476,0,0,0.664313621307,"20130609004451",16249,251
403,0,"Technology:CLR","",253,0,0,0.96785158806,"20130609004452",16848,236
409,0,"Language:XSD","",371,0,0,0.330261121409,"20130609004452",13467,108
410,14,"Format_language","",453,0,0,0.897758705908,"20130609004452",18304,117
412,0,"Language:XML","",643,0,0,0.599190402516,"20130609004453",18564,183
413,0,"Language:Unicode","",186,0,0,0.647747023601,"20130609004454",16680,70
414,0,"Language:ASCII","",157,0,0,0.432444259435,"20130609004455",16625,69
435,0,"Contributor:Andrei_Varanovich","",2422,0,0,0.884482820392,"20130609004503",17575,119
440,0,"Language:SQL","",826,0,0,0.810775898845,"20130609004504",16673,139
441,14,"Scripting_language","",425,0,0,0.430010515196,"20130609004504",18305,392
442,0,"Language:JavaScript","",530,0,0,0.802170635213,"20130609004505",18539,611
443,14,"Domain-specific_language","",364,0,0,0.996625192935,"20130609004713",18306,199
444,14,"Markup_language","",367,0,0,0.17135356008,"20130609004714",18307,197
445,0,"Language:HTML","",402,0,0,0.360275477319,"20130609004716",18498,288
446,0,"Language:XHTML","",361,0,0,0.965580358297,"20130609004718",19078,328
448,0,"Technology:SQL_Server","",508,0,0,0.035028435706,"20130609004720",16964,275
449,0,"Technology:HSQLDB","",477,0,0,0.440766942497,"20130609004722",16879,196
451,4,"Contact","",1870,0,0,0.266319247089,"20130609004724",2800,549
456,4,"License","",1174,0,0,0.519408830939,"20130609004736",2030,1663
459,0,"Language:AspectJ","",451,0,0,0.72095986868,"20130609005134",19093,321
460,0,"Feature:Logging","",969,0,0,0.423882229289,"20130609005136",24315,3615
461,0,"Technology:AJDT","",431,0,0,0.555845493281,"20130609005138",18651,291
462,0,"Technology:ajc","",308,0,0,0.149256020122,"20130609005141",16996,155
463,14,"Language_construct","",489,0,0,0.188851438922,"20130609005143",18308,124
464,14,"Declaration","",310,0,0,0.895083485474,"20130609005144",16158,60
465,0,"Inter-type_declaration","",211,0,0,0.492470851266,"20130609005146",18462,218
466,0,"Aspect-oriented_programming","",522,0,0,0.658838991202,"20130609005148",18364,529
468,14,"Language_concept","",440,0,0,0.268375263068,"20130609005149",18309,115
469,0,"Virtual_method","",270,0,0,0.844903131094,"20130609005151",17049,157
474,14,"Field","",175,0,0,0.324013506106,"20130609010030",16164,149
475,14,"Statement","",163,0,0,0.548119585886,"20130609010031",16263,139
478,0,"Concrete_class","",181,0,0,0.177876748221,"20130609010032",16426,136
479,0,"Abstract_class","",274,0,0,0.079204123662,"20130609010033",16369,151
481,14,"Instance_method","",262,0,0,0.113640163855,"20130609010034",16180,123
482,14,"Static_method","",275,0,0,0.162064064926,"20130609010140",16264,180
483,14,"Application","",200,0,0,0.015616182799,"20130609010148",16107,120
484,14,"Advice","",215,0,0,0.677693439145,"20130609010149",16096,137
487,0,"After_advice","",191,0,0,0.616416710771,"20130609010150",16377,40
488,0,"Around_advice","",182,0,0,0.793046389419,"20130609010152",16393,40
489,0,"Before_advice","",184,0,0,0.153877976061,"20130609010153",16401,40
490,0,"Constructor_method","",185,0,0,0.10537790073,"20130609010155",16434,47
491,0,"Getter","",195,0,0,0.318865285627,"20130609010156",16559,423
492,0,"Setter","",167,0,0,0.67923390345,"20130609010157",16800,171
494,0,"Feature:Browsing","",3293,0,0,0.071144285211,"20130609010620",24400,5051
497,0,"Logging","",349,0,0,0.645185211393,"20130609010645",19073,505
498,0,"Technology:Kiama","",265,0,0,0.749103295274,"20130609010716",18921,163
499,0,"Contributor:Tony_Sloane","",392,0,0,0.040193953998,"20130609010717",17671,24
501,0,"Contributor:Vadim_Zaytsev","",440,0,0,0.850458130249,"20130609010756",17675,24
502,0,"Language:XSLT","",228,0,0,0.900806676816,"20130609010757",18561,225
503,14,"Language_implementation","",256,0,0,0.7611049008,"20130609010803",16192,146
506,14,"Program_analyzer","",162,0,0,0.1082490441,"20130609010803",16236,47
507,14,"Pretty_printer","",186,0,0,0.783716825617,"20130609010841",16232,47
508,14,"Program_transformer","",188,0,0,0.281968528499,"20130609011434",16238,47
509,14,"Program_generator","",328,0,0,0.309338425345,"20130609011544",16237,62
510,0,"Technology:xsltproc","",267,0,0,0.537840221744,"20130609011728",17016,119
511,0,"Technology:Saxon","",255,0,0,0.179507498594,"20130609011729",18937,181
512,0,"Language:XQuery","",321,0,0,0.908133824761,"20130609011906",18562,223
513,0,"Technology:BaseX","",379,0,0,0.980795493676,"20130609012123",18848,207
514,0,"Language:XPath","",205,0,0,0.484771463455,"20130609012315",18563,153
515,0,"Technology:Xalan-Java","",305,0,0,0.265263459607,"20130609012316",18967,261
516,0,"Contributor:Zef_Hemel","",381,0,0,0.258655487117,"20130609012317",17677,24
518,0,"Technology:xjc","",446,0,0,0.213638731105,"20130609012317",17015,182
519,0,"SYB","",409,1,0,0.873088746626,"20130609012318",19909,36
522,0,"Contributor:Thiago_Tonelli_Bartolomei","",516,0,0,0.566018167239,"20130609012318",17663,24
523,14,"Domain","",343,0,0,0.656254244725,"20130609012319",16161,32
524,0,"GUI_programming","",346,0,0,0.718167546492,"20130609012319",17089,118
525,0,"Database_programming","",325,0,0,0.90498366533,"20130609012320",17742,154
526,0,"XML_programming","",269,0,0,0.608053173473,"20130609012321",17057,53
527,0,"Data_programming","",299,0,0,0.939065771511,"20130609012321",15360,132
528,0,"Distributed_programming","",201,0,0,0.594760055232,"20130609012409",16479,52
529,14,"Programming_domain","",264,0,0,0.028621880016,"20130609012409",16239,49
530,14,"Application_domain","",214,0,0,0.948026045339,"20130609012410",16109,34
531,0,"Human_resources","",183,0,0,0.916702730303,"20130609012411",16569,52
532,0,"Financial_exchange","",156,0,0,0.439523466775,"20130609012411",16538,52
533,0,"ECommerce","",161,0,0,0.180009620567,"20130609012414",16483,52
534,0,"Health_care","",170,0,0,0.252778747441,"20130609012414",16566,52
536,14,"Data_technology","",345,0,0,0.665186282725,"20130609012926",16153,103
543,14,"XML_processor","",295,0,0,0.537815949793,"20130609012927",16294,126
545,0,"Object_composition","",266,0,0,0.546390088373,"20130609012929",15400,80
546,0,"Class_inheritance","",220,0,0,0.873202950929,"20130609012930",16412,45
547,14,"Inheritance","",210,0,0,0.280335902064,"20130609012932",16179,42
551,0,"Subtype_polymorphism","",195,0,0,0.475357139688,"20130609012937",24106,248
553,0,"Schema-first_mapping","",448,0,0,0.671214862225,"20130609012943",16794,239
555,0,"Language:Cobol","",473,0,0,0.503101042106,"20130609012945",19089,381
556,14,"Procedural_programming_language","",245,0,0,0.247504227006,"20130609012946",16235,48
557,0,"Language:Cobol_85","",181,0,0,0.607944869683,"20130609013103",16636,125
558,0,"Technology:OpenCOBOL","",268,0,0,0.10426522923,"20130609013105",18950,675
560,0,"Contributor:Sebastian_Jackel","",570,0,0,0.766686561062,"20130609013106",17655,139
567,0,"101internal:meeting04012011","",73,0,0,0.651971931614,"20110503104500",2064,47
569,0,"Internal:meeting04012011","",36,1,0,0.155085338656,"20130609013110",13971,56
570,100,"Meeting04012011","",54,0,0,0.604740760188,"20130609013111",13675,17
573,4,"Administration","",119,1,1,0.234279865237,"20130609013117",2081,34
577,0,"Contributor:Tassilo_Horn","",407,0,0,0.345688898651,"20130609013119",17661,24
578,0,"Contributor:Mahdi_Derakhshanmanesh","",510,0,0,0.856660960905,"20130609013127",17627,25
579,0,"Technology:Rebar","",172,0,0,0.765794840145,"20130609013129",19174,244
580,0,"Technology:GNU_make","",320,0,0,0.555483282799,"20130609013130",18875,153
581,0,"Feature:Reliability","",842,0,0,0.083935371089,"20130609013132",19060,616
582,0,"Fault_tolerance","",504,0,0,0.395147154417,"20130609013134",19065,299
583,0,"Contributor:Jesper_Louis_Andersen","",511,0,0,0.283271959394,"20130609013136",17617,25
584,0,"Language:Erlang","",300,0,0,0.405248587295,"20130609013139",19087,262
585,0,"Technology:Erlang/OTP","",174,0,0,0.247354082799,"20130609013141",18878,206
591,0,"Open_serialization","",752,0,0,0.258289233329,"20130609013143",19776,959
596,14,"101developer","",1131,0,0,0.520325058018,"20130609013431",23488,132
599,0,"Contributor:Jean-Marie_Favre","",629,0,0,0.618766287643,"20130609013436",17615,116
600,0,"Contributor:Dragan_Gasevic","",349,0,0,0.919594532474,"20130609013450",17589,57
615,14,"101author","",706,0,0,0.898096961693,"20130609013505",23489,301
617,14,"101founder","",605,0,0,0.132580386424,"20130609013508",23490,83
619,10,"101contributor","",506,0,0,0.174214570411,"20130609013517",2240,117
621,10,"Contributor","",26,1,1,0.089286722556,"20130609013518",2238,37
625,0,"Contributor:Rodrigo_Bonifacio","",759,0,0,0.396484426763,"20130609013520",17653,24
628,1,"101implementation:csharpEntityFramework","",94,0,0,0.570534073385,"20130609013521",2282,0
629,1,"101implementation:java","",201,0,0,0.282702980322,"20130609013523",2815,184
632,14,"101advisor","",477,0,0,0.695046579378,"20130609013524",16010,395
636,0,"Main_Page","",88,1,0,0.820477098926,"20130609014056",23491,37
638,0,"Contributor:David_Saile","",329,0,0,0.993400501832,"20130609014058",17587,25
639,14,"101reviewer","",1038,0,0,0.836912787307,"20130609014100",23492,654
642,0,"Contributor:Eelco_Visser","",523,0,0,0.333028606966,"20130609014102",17593,57
646,14,"101view","",529,0,0,0.709670222445,"20130609014130",23493,110
656,0,"Code-first_mapping","",404,0,0,0.425328175854,"20130609014602",16417,241
659,14,"Technical_segment","",442,0,0,0.936162749384,"20130609014604",16271,110
660,0,"Generic_objectware","",1035,0,0,0.234151221163,"20130609014605",16558,630
661,0,"Auxiliary_XMLware","",366,0,0,0.673135150028,"20130609014607",16397,588
673,0,"101wiki","",708,0,0,0.855861487609,"20130609014611",13719,156
680,0,"Contribution:aspectJ","",2374,0,0,0.420715535673,"20130609014613",20980,4108
681,0,"Contribution:atl","",1011,0,0,0.223997718172,"20130609014615",21067,3924
684,0,"Contribution:clojure","",490,0,0,0.079750729148,"20130609014615",13802,1136
685,0,"Contribution:cobol","",592,0,0,0.949132849307,"20130609014616",20981,1074
686,0,"Contribution:csharp","",2024,0,0,0.050641887759,"20130609014618",21238,2290
687,0,"Contribution:dom","",2060,0,0,0.073715561037,"20130609014620",24505,3016
688,0,"Contribution:ef","",605,0,0,0.821916204038,"20130609014622",20983,2597
689,0,"Contribution:emfGenerative","",2401,0,0,0.103206706554,"20130609014623",21290,9169
690,0,"Contribution:erlang","",563,0,0,0.462458716362,"20130609014625",20769,5175
691,0,"Contribution:fsharp","",1156,0,0,0.050033212052,"20130609014627",20770,2091
692,0,"Contribution:gwt","",2583,0,0,0.610357106598,"20130609014629",24401,5046
693,0,"Contribution:hadoop","",1639,0,0,0.877600203855,"20130609014651",20773,4953
695,0,"Contribution:hibernate","",3035,0,0,0.73762987985,"20130609014815",21270,9385
696,0,"Contribution:hibernate2","",942,0,0,0.608524289521,"20130609014816",21271,4180
702,0,"Contribution:jdbc","",1125,0,0,0.806601216521,"20130609015031",19327,960
703,0,"Contribution:jdbc2","",823,0,0,0.407221509575,"20130609015033",19328,2363
704,0,"Contribution:jdom","",883,0,0,0.92256817722,"20130609015257",24493,2691
705,0,"Contribution:jena","",369,0,0,0.185063653583,"20130609015258",13819,782
706,0,"Contribution:jena2","",338,0,0,0.722777790006,"20130609015528",13820,472
707,0,"Contribution:jgralab","",1122,0,0,0.884222632013,"20130609015530",21071,3576
708,0,"Contribution:kiama","",520,0,0,0.503663230225,"20130609015532",20985,1199
709,0,"Contribution:mobl","",505,0,0,0.589092946365,"20130609015534",13593,770
710,0,"Contribution:mps","",234,0,0,0.584096580186,"20130609015535",13589,178
711,0,"Contribution:prologStarter","",454,0,0,0.366497498862,"20130609015537",21754,636
712,0,"Contribution:py3k","",414,0,0,0.529949949573,"20130609015539",20779,1438
713,0,"Contribution:ruby","",441,0,0,0.219471911558,"20130609015545",13572,419
714,0,"Contribution:sax","",1166,0,0,0.747060711325,"20130609015818",24494,2870
715,0,"Contribution:scala","",451,0,0,0.628788800935,"20130609015820",20782,1571
716,0,"Contribution:scala2","",693,0,0,0.61984433222,"20130609015822",21072,2039
717,0,"Contribution:seam","",4495,0,0,0.526383688893,"20130609015824",21199,9708
719,0,"Contribution:sqlServer","",734,0,0,0.337269877558,"20130609015825",23414,1897
720,0,"Contribution:stratego","",502,0,0,0.204771615743,"20130609015826",13306,107
722,0,"Contribution:swing","",835,0,0,0.556427675792,"20130609015827",21200,1161
723,0,"Contribution:haskellSyb","",772,0,0,0.127079018354,"20130609015828",21460,3436
724,0,"Contribution:webDSL","",1105,0,0,0.930035284148,"20130609015828",21201,1493
725,0,"Contribution:xom","",511,0,0,0.322119607593,"20130609015829",24495,2793
726,0,"Contribution:xpathAPI","",868,0,0,0.333027346538,"20130609015830",24497,3070
727,0,"Contribution:xquery","",859,0,0,0.408950740138,"20130609015831",21836,2180
728,0,"Contribution:xslt","",2262,0,0,0.115466423565,"20130609015831",24147,3254
729,0,"Contribution:csharpLinqToXml","",1033,0,0,0.51625110887,"20130609015833",21076,1731
732,0,"Closed_serialization","",371,0,0,0.124914372826,"20130609015833",19775,522
733,0,"Fileware","",336,0,0,0.82832949169,"20130609015836",16535,460
734,0,"Technology:Hadoop","",318,0,0,0.68366498499,"20130609015837",15656,116
735,0,"Technology:ANTLR","",692,0,0,0.376122621703,"20130609015838",16826,167
738,0,"Contribution:mySqlMany","",882,0,0,0.418773108611,"20130609015838",23415,951
739,0,"POJO","",296,0,0,0.151505611121,"20130609015840",16745,76
744,1,"101implementation:java10","",28,1,1,0.809796974295,"20130609015842",2816,41
745,0,"Contribution:antlrAcceptor","",1430,0,0,0.544969499265,"20130609015844",24515,3303
746,0,"Contribution:antlrObjects","",2330,0,0,0.611472218842,"20130609015840",24517,3892
748,0,"Contribution:antlrTrees","",1252,0,0,0.432472306951,"20130609015846",24519,4436
749,0,"Contribution:javaComposition","",1396,0,0,0.449532113849,"20130609015915",24503,3324
750,0,"Contribution:javaInheritance","",1152,0,0,0.104340160111,"20130609015917",24502,3404
751,14,"Parser_generator","",312,0,0,0.775359450097,"20130609015918",16225,45
752,0,"Contribution:jaxbChoice","",909,0,0,0.472730633086,"20130609015920",24489,3643
753,0,"Contribution:jaxbComposition","",2611,0,0,0.014481278233,"20130609015929",24490,4423
754,0,"Contribution:jaxbExtension","",1041,0,0,0.835870063653,"20130609015931",24491,3634
755,0,"Contributor:Jürgen_Starek","",312,0,0,0.102402870272,"20130609015933",17621,25
756,14,"Query_language","",469,0,0,0.151033544077,"20130609015958",18311,60
757,0,"Language:HSQLDialect","",214,0,0,0.835630006295,"20130609020000",16645,130
758,0,"Language:HQL","",275,0,0,0.478681770648,"20130609020002",18499,197
759,0,"Technology:EMF","",328,0,0,0.079011498158,"20130609020003",18670,319
760,0,"Language:Ecore","",318,0,0,0.017939322442,"20130609020005",18503,266
761,14,"Modeling_language","",456,0,0,0.875738753693,"20130609020007",18312,192
762,0,"Model/Object_mapping","",483,0,0,0.09393114687,"20130609020009",18576,499
763,14,"Relationship","",151,0,0,0.554130987088,"20130609020010",16247,93
764,0,"Containment_relationship","",271,0,0,0.112967597949,"20130609020012",16435,46
765,0,"Reference_relationship","",167,0,0,0.612655668781,"20130609020014",16784,47
766,0,"Technology_profile","",290,0,0,0.89985405159,"20130609020015",17017,310
768,0,"Technology:make","",291,0,0,0.720472661656,"20130609020500",19002,316
769,14,"Web_application","",461,0,0,0.821565919873,"20130609020502",16287,53
770,0,"Web_programming","",369,0,0,0.424462061451,"20130609020503",19185,251
771,0,"Technology:GWT","",1138,0,0,0.413286175017,"20130609020505",18874,864
772,0,"Technology:Graphviz","",202,0,0,0.488575484836,"20130609020507",19133,187
773,0,"Technology:GReTL","",186,0,0,0.140851349703,"20130609020518",16866,127
775,0,"Language:GReTL","",210,0,0,0.323566369675,"20130609020520",13565,111
780,0,"Technology:Ant","",230,0,0,0.118809913559,"20130609020744",21854,459
781,14,"101profile","",254,0,0,0.112228091601,"20130609020936",16064,119
783,0,"Technology:JDBC","",282,0,0,0.747804274212,"20130609020938",16898,97
784,0,"101status:Broken","",576,0,0,0.696379152883,"20130609020939",16331,359
785,14,"101status","",519,0,0,0.392000782194,"20130609020941",16075,105
786,0,"Contribution:javaVisitor","",1263,0,0,0.68282716023,"20130609020943",24498,3169
787,0,"Contribution:javaStatic","",542,0,0,0.518609310012,"20130609020945",24501,2986
802,14,"Annotation","",158,0,0,0.140937129295,"20130609021150",16105,116
803,0,"Schema-based_validation","",245,0,0,0.687728934541,"20130609021152",22352,145
804,0,"Technology:XMLStreamWriter","",251,0,0,0.31043138504,"20130609021153",18970,209
805,0,"Contribution:javaScanner","",1285,0,0,0.328893260968,"20130609021155",24484,4502
806,0,"Contributor:Michael_Kusenbach","",371,0,0,0.51545301507,"20130609021157",17641,24
807,0,"Technology:java.util.Scanner","",204,0,0,0.449608395088,"20130609021159",18957,194
810,0,"Contribution:javaLexer","",1020,0,0,0.955954743698,"20130609021201",24480,3638
811,0,"101status:Suboptimal","",574,0,0,0.312999936401,"20130609021203",16335,356
812,0,"Contribution:seaside","",1838,0,0,0.461225776991,"20130609021205",20808,2095
813,0,"Contribution:javaParser","",1200,0,0,0.89530433204,"20130609021320",24483,3271
814,0,"Contribution:antlrParser","",1166,0,0,0.760870633655,"20130609021322",24518,3219
815,0,"Contribution:antlrLexer","",1087,0,0,0.670775743145,"20130609021324",24516,3321
816,0,"Technology:Pharo","",517,0,0,0.201251390724,"20130609021330",15750,197
817,0,"Language:Smalltalk","",570,0,0,0.98399187714,"20130609021333",16678,201
818,0,"Technology:Seaside","",320,0,0,0.250411987231,"20130609021334",15771,217
819,0,"Contributor:Andy_Kellens","",219,0,0,0.317406717876,"20130609021336",17577,25
820,0,"101status:Featured","",253,0,0,0.863419484602,"20130609021338",16334,149
821,14,"101internal","",138,0,0,0.092838774752,"20130609021340",14055,49
824,0,"C9_Roadmap","",136,1,0,0.794115327292,"20130609021341",13769,51
832,0,"Contribution:jaxbSubstitution","",620,0,0,0.742846646163,"20130609021445",24492,3626
835,100,"Webtaxonomy","",135,0,0,0.547782431847,"20130609021510",4030,2077
836,0,"Contribution:strutsXml","",1579,0,0,0.17444523039,"20130609022022",20813,6838
837,10,"Header101implementation","",235,0,0,0.599040152324,"20130609022024",3312,62
838,10,"Bp101implementation","",33,1,1,0.248494682298,"20130609022026",3313,46
